dim,min,max,mean,std,p1,p99
0,-8.013295,9.147391,-0.54855245,1.334418,-3.758887197971344,2.2373998713493344
1,-9.336975,6.1382966,0.56537044,0.81274354,-1.1889461433887483,2.5652061676979065
2,-6.475584,7.1798863,-0.082392536,0.7063226,-2.0915226769447326,1.5030825221538542
3,-5.749047,5.993372,0.017801115,1.1272348,-1.8852649116516114,2.7302230381965633
4,-3.2237144,3.5464,1.0534474,1.0530192,-1.209561264514923,3.5102664136886594
5,-1.0469797,1.0471629,0.16766362,0.3881568,-0.7422480064630509,0.9330399984121321
6,-7.751389,9.32389,-0.29920495,1.3390235,-4.255712504386902,2.561772377490997
7,-5.9631476,8.934406,-0.44850326,0.6288162,-2.086193337440491,0.9661095559597008
8,-6.800631,5.7165112,-0.5704024,0.71617126,-2.617775392532349,0.9640599614381784
9,-5.1369233,6.5284677,-0.43009388,1.0563468,-2.172535538673401,2.169289951324461
10,-3.0879028,3.5464,1.2221973,1.0185212,-1.1142955899238587,3.524370186328888
11,-1.046975,1.0470854,0.028191123,0.38414302,-0.8792769277095794,0.7830383372306823
12,-7.026526,8.214622,-0.31933284,0.63274395,-2.3186771082878113,0.8212916672229766
13,-2.0754085,2.0799956,0.22846669,0.643116,-1.367407408952713,1.7939492917060844
14,-2.08,2.0799778,-0.9312378,0.92716897,-2.079838275909424,1.9406860852241505
15,-10.811968,7.549856,-2.1902635,2.4182346,-6.704859900474548,1.475000225305557
16,-8.205998,7.539186,-2.0446103,4.012485,-8.204972267150879,2.6605951189994808
17,-8.415418,7.7607384,-1.3773403,1.6279745,-4.754924249649048,1.1819101309776303
18,-6.3530855,4.9615393,-1.0609602,1.5994812,-4.563210725784302,1.7459517610073085
19,-6.3972926,6.5607123,0.9136366,1.9002419,-2.252414953708649,4.516854157447815
20,-6.457719,6.4577193,3.4722972,3.7240522,-6.277239570617676,6.45625114440918
21,-6.457715,6.457713,-2.0022602,3.7220702,-6.453155040740967,6.304221978187561
22,-10.933064,5.524394,-2.262131,2.1570716,-6.6689336442947384,0.9038111829757685
23,-6.5739493,7.109,0.33522636,1.5562288,-2.095290250778198,4.355836582183837
24,-7.5521145,7.523237,1.194266,1.1441787,-0.8316461038589478,4.93360300540924
25,-6.538016,5.0487733,-0.69875395,1.5671297,-4.875966262817383,2.114962394237517
26,-7.30698,5.4689035,-0.2437594,1.3800734,-3.661762523651123,3.1902864933013912
27,-6.4577193,6.457719,-1.2585608,4.7674503,-6.455519199371338,6.447590336799622
28,-6.457712,6.457719,2.0956395,3.9955955,-6.442269296646118,6.455450057983398
